type,TS,VM,OM,FC,Ash,C,C(ash-free),O/C,H/C,N/C,HHV
ADS,8.1,51.3,51.3,,48.7,29,49.914,0.57,1.29,0.083,11.6
AS,19,50.2,74.34,17.44,25.66,40.11,53.955,0.44,1.59,0.093,17.17
ADS,4.5,55.81,68.23,7.76,31.77,34.78,53.327,0.438,1.356,0.124,16.61
AS,,,80.21,,19.79,39.43,49.158,0.53,1.57,0.154,16.64
ADS,22.8,68.92,75.8,6.88,24.2,34.23,45.158,0.663,2.251,0.104,13.3
AS,10.5,73.7,86.4,12.7,13.6,43,49.769,0.537,1.647,0.128,18.5
SS,,64.27,64.97,0.7,35.03,47.01,69.49,0.168,1.595,0.022,22.21
ADS,,,70.2,,29.8,40.3,57.407,0.361,1.727,0.1,18
ADS,,54.7,59.1,4.4,40.9,32.7,55.33,0.353,1.798,0.134,14.9
ADS,27.2,,39.7,,60.3,20.9,52.778,0.484,1.435,0.078,7.565
SS,11.14,72.11,84.82,12.71,15.18,45.37,53.49,0.405,1.571,0.17,19.831
PS,,72.33,82.95,10.62,17.05,43.375,52.29,0.468,1.811,0.105,20.606
ADS,,35.55,47.52,3.56,52.48,23.242,48.91,0.458,2.385,0.157,9.33
AS,14.06,78.49,81.49,2.01,18.51,41.723,51.2,0.468,1.556,0.148,17.844
AS,3,65.74,66.43,0.7,33.57,36.64,54.965,0.362,2.905,0.075,16.3
ADS,,66.87,73.94,7.07,26.06,28.504,38.55,0.905,2.011,0.179,16.5
AS,,79.26,94.14,14.88,5.86,47.32,51.784,0.421,1.775,0.179,19.96
ADS,29,50.25,55.01,4.76,44.99,25.6,47.137,0.62,1.856,0.12,10.66
ADS,,65.67,71.57,5.9,28.43,35.91,50.821,0.491,1.811,0.139,16.02
PS,2.78,79,92.28,7.26,7.72,48.04,52.394,0.521,1.771,0.045,21.191
ADS,,36.85,39.1,2.25,60.9,20.72,52.992,0.414,1.61,0.122,7.82
PS,4.3,68.56,72.46,3.9,27.54,26.542,36.63,1.071,1.897,0.124,9.624
ADS,14.3,69.98,71.4,1.42,28.6,36.7,39.043,0.734,2.093,0.128,14.67
PS,4,70.34,84.03,5.33,15.97,39.435,46.93,0.684,1.562,0.076,18.01
ADS,,,46,,54,22.8,50.78,0.553,1.789,0.071,9.006
SS,,,49.3,,50.7,24.5,50.936,0.511,1.812,0.112,10.017
AS,,73.7,86.4,12.7,13.6,43,49.769,0.537,1.647,0.128,18.412
ADS,9.58,84.59,84.59,,15.41,43.79,51.767,0.422,1.803,0.188,20.007
ADS,,50,53.5,3.5,46.5,27.9,52.052,0.438,2.022,0.12,13.7
ADS,,,36.1,,63.9,17.8,54.769,0.51,1.551,0.014,8.8
SS,,,37,,63,13.1,35.405,0.784,3.389,0.268,7.3
PS,,,74.3,,25.7,40.3,54.24,0.441,1.965,0.07,18.817
SS,,,71.8,,28.2,33.5,46.657,0.638,1.97,0.105,14.564
ADS,,,72.7,,27.3,35.5,48.831,0.592,1.961,0.08,15.689
ADS,17.3,68.6,76.3,7.7,23.7,38.6,33.305,0.975,1.927,0.111,16.589
ADS,21.03,,58.7,,41.3,29.6,50.426,0.537,1.703,0.107,12.122
PS,,73.6,86.3,12.7,13.7,48.1,48.052,0.566,1.746,0.141,17.6
AS,15,73.6,86.3,12.7,13.7,41.5,48.088,0.566,1.735,0.14,17.6
ADS,,,67.75,,32.25,24.89,36.738,0.997,2.305,0.135,10.239
PS,,57,71.3,,28.7,36.6,48.865,0.582,1.869,0.098,15.859
AS,,46,68.5,,31.5,30.8,42.6,0.774,2.026,0.125,12.827
ADS,,39,59.7,,40.3,27.5,43.171,0.742,2.007,0.137,11.251
AS,,57.19,65.31,8.12,34.69,35.104,53.75,0.401,1.491,0.145,14.71
PS,,37.74,44.45,6.7,55.55,19.43,43.712,0.67,1.964,0.174,7.503
PS,15,77.5,79.1,1.6,20.9,43,54.362,0.44,1.702,0.084,17.6
SS,15,73.6,86.3,12.7,13.7,41.5,48.144,0.564,1.735,0.14,17.6
ADS,,,59.1,,40.9,32.5,54.992,0.351,1.735,0.132,14.3
